KODERECH	PERMALINK EREKH	word	ZURA	PERMALINK_ZURA
227	http://maagarim.hebrew-academy.org.il/?koderekh=227	אבלין	לאובלין	http://maagarim.hebrew-academy.org.il/?koderekh=227&tsura=%D7%9C%D7%90%D7%95%D7%91%D7%9C%D7%99%D7%9F
227	http://maagarim.hebrew-academy.org.il/?koderekh=227	אבלין	לאוכלין	http://maagarim.hebrew-academy.org.il/?koderekh=227&tsura=%D7%9C%D7%90%D7%95%D7%9B%D7%9C%D7%99%D7%9F
229	http://maagarim.hebrew-academy.org.il/?koderekh=229	אבליעה	ואיבליעה	http://maagarim.hebrew-academy.org.il/?koderekh=229&tsura=%D7%95%D7%90%D7%99%D7%91%D7%9C%D7%99%D7%A2%D7%94
261	http://maagarim.hebrew-academy.org.il/?koderekh=261	אבץ	אבץ	http://maagarim.hebrew-academy.org.il/?koderekh=261&tsura=%D7%90%D7%91%D7%A5
263	http://maagarim.hebrew-academy.org.il/?koderekh=263	אבצל	דאבצל	http://maagarim.hebrew-academy.org.il/?koderekh=263&tsura=%D7%93%D7%90%D7%91%D7%A6%D7%9C
263	http://maagarim.hebrew-academy.org.il/?koderekh=263	אבצל	דבצאל	http://maagarim.hebrew-academy.org.il/?koderekh=263&tsura=%D7%93%D7%91%D7%A6%D7%90%D7%9C
263	http://maagarim.hebrew-academy.org.il/?koderekh=263	אבצל	דיפצאל	http://maagarim.hebrew-academy.org.il/?koderekh=263&tsura=%D7%93%D7%99%D7%A4%D7%A6%D7%90%D7%9C
403	http://maagarim.hebrew-academy.org.il/?koderekh=403	אגלים	אגליים	http://maagarim.hebrew-academy.org.il/?koderekh=403&tsura=%D7%90%D7%92%D7%9C%D7%99%D7%99%D7%9D
403	http://maagarim.hebrew-academy.org.il/?koderekh=403	אגלים	אגלים	http://maagarim.hebrew-academy.org.il/?koderekh=403&tsura=%D7%90%D7%92%D7%9C%D7%99%D7%9D
403	http://maagarim.hebrew-academy.org.il/?koderekh=403	אגלים	ואגלים	http://maagarim.hebrew-academy.org.il/?koderekh=403&tsura=%D7%95%D7%90%D7%92%D7%9C%D7%99%D7%9D
403	http://maagarim.hebrew-academy.org.il/?koderekh=403	אגלים	כאגלים	http://maagarim.hebrew-academy.org.il/?koderekh=403&tsura=%D7%9B%D7%90%D7%92%D7%9C%D7%99%D7%9D
406	http://maagarim.hebrew-academy.org.il/?koderekh=406	אגמא	דאגמה	http://maagarim.hebrew-academy.org.il/?koderekh=406&tsura=%D7%93%D7%90%D7%92%D7%9E%D7%94
456	http://maagarim.hebrew-academy.org.il/?koderekh=456	אגריגנטו	אגרוקונתוס	http://maagarim.hebrew-academy.org.il/?koderekh=456&tsura=%D7%90%D7%92%D7%A8%D7%95%D7%A7%D7%95%D7%A0%D7%AA%D7%95%D7%A1
488	http://maagarim.hebrew-academy.org.il/?koderekh=488	אדום	א'	http://maagarim.hebrew-academy.org.il/?koderekh=488&tsura=%D7%90'
488	http://maagarim.hebrew-academy.org.il/?koderekh=488	אדום	אדום	http://maagarim.hebrew-academy.org.il/?koderekh=488&tsura=%D7%90%D7%93%D7%95%D7%9D
488	http://maagarim.hebrew-academy.org.il/?koderekh=488	אדום	באדום	http://maagarim.hebrew-academy.org.il/?koderekh=488&tsura=%D7%91%D7%90%D7%93%D7%95%D7%9D
488	http://maagarim.hebrew-academy.org.il/?koderekh=488	אדום	ואדום	http://maagarim.hebrew-academy.org.il/?koderekh=488&tsura=%D7%95%D7%90%D7%93%D7%95%D7%9D
488	http://maagarim.hebrew-academy.org.il/?koderekh=488	אדום	ובאדום	http://maagarim.hebrew-academy.org.il/?koderekh=488&tsura=%D7%95%D7%91%D7%90%D7%93%D7%95%D7%9D
488	http://maagarim.hebrew-academy.org.il/?koderekh=488	אדום	ולאדום	http://maagarim.hebrew-academy.org.il/?koderekh=488&tsura=%D7%95%D7%9C%D7%90%D7%93%D7%95%D7%9D
488	http://maagarim.hebrew-academy.org.il/?koderekh=488	אדום	ומאדום	http://maagarim.hebrew-academy.org.il/?koderekh=488&tsura=%D7%95%D7%9E%D7%90%D7%93%D7%95%D7%9D
488	http://maagarim.hebrew-academy.org.il/?koderekh=488	אדום	לאדום	http://maagarim.hebrew-academy.org.il/?koderekh=488&tsura=%D7%9C%D7%90%D7%93%D7%95%D7%9D
488	http://maagarim.hebrew-academy.org.il/?koderekh=488	אדום	מאדום	http://maagarim.hebrew-academy.org.il/?koderekh=488&tsura=%D7%9E%D7%90%D7%93%D7%95%D7%9D
488	http://maagarim.hebrew-academy.org.il/?koderekh=488	אדום	שבאדום	http://maagarim.hebrew-academy.org.il/?koderekh=488&tsura=%D7%A9%D7%91%D7%90%D7%93%D7%95%D7%9D
530	http://maagarim.hebrew-academy.org.il/?koderekh=530	אדם	אדם	http://maagarim.hebrew-academy.org.il/?koderekh=530&tsura=%D7%90%D7%93%D7%9D
530	http://maagarim.hebrew-academy.org.il/?koderekh=530	אדם	מאדם	http://maagarim.hebrew-academy.org.il/?koderekh=530&tsura=%D7%9E%D7%90%D7%93%D7%9D
537	http://maagarim.hebrew-academy.org.il/?koderekh=537	אדמה	אדמה	http://maagarim.hebrew-academy.org.il/?koderekh=537&tsura=%D7%90%D7%93%D7%9E%D7%94
537	http://maagarim.hebrew-academy.org.il/?koderekh=537	אדמה	ואדמה	http://maagarim.hebrew-academy.org.il/?koderekh=537&tsura=%D7%95%D7%90%D7%93%D7%9E%D7%94
537	http://maagarim.hebrew-academy.org.il/?koderekh=537	אדמה	כאדמה	http://maagarim.hebrew-academy.org.il/?koderekh=537&tsura=%D7%9B%D7%90%D7%93%D7%9E%D7%94
560	http://maagarim.hebrew-academy.org.il/?koderekh=560	אדסה	חרים	http://maagarim.hebrew-academy.org.il/?koderekh=560&tsura=%D7%97%D7%A8%D7%99%D7%9D
560	http://maagarim.hebrew-academy.org.il/?koderekh=560	אדסה	עדעסא	http://maagarim.hebrew-academy.org.il/?koderekh=560&tsura=%D7%A2%D7%93%D7%A2%D7%A1%D7%90
601	http://maagarim.hebrew-academy.org.il/?koderekh=601	אדריאס	אדריאנוס	http://maagarim.hebrew-academy.org.il/?koderekh=601&tsura=%D7%90%D7%93%D7%A8%D7%99%D7%90%D7%A0%D7%95%D7%A1
601	http://maagarim.hebrew-academy.org.il/?koderekh=601	אדריאס	אדריאס	http://maagarim.hebrew-academy.org.il/?koderekh=601&tsura=%D7%90%D7%93%D7%A8%D7%99%D7%90%D7%A1
612	http://maagarim.hebrew-academy.org.il/?koderekh=612	אדרעי	אדרעי	http://maagarim.hebrew-academy.org.il/?koderekh=612&tsura=%D7%90%D7%93%D7%A8%D7%A2%D7%99
612	http://maagarim.hebrew-academy.org.il/?koderekh=612	אדרעי	באדרעי	http://maagarim.hebrew-academy.org.il/?koderekh=612&tsura=%D7%91%D7%90%D7%93%D7%A8%D7%A2%D7%99
612	http://maagarim.hebrew-academy.org.il/?koderekh=612	אדרעי	לאדרעי	http://maagarim.hebrew-academy.org.il/?koderekh=612&tsura=%D7%9C%D7%90%D7%93%D7%A8%D7%A2%D7%99
646	http://maagarim.hebrew-academy.org.il/?koderekh=646	אהוא	אהוא	http://maagarim.hebrew-academy.org.il/?koderekh=646&tsura=%D7%90%D7%94%D7%95%D7%90
646	http://maagarim.hebrew-academy.org.il/?koderekh=646	אהוא	אהוה	http://maagarim.hebrew-academy.org.il/?koderekh=646&tsura=%D7%90%D7%94%D7%95%D7%94
681	http://maagarim.hebrew-academy.org.il/?koderekh=681	אהליא	באהליה	http://maagarim.hebrew-academy.org.il/?koderekh=681&tsura=%D7%91%D7%90%D7%94%D7%9C%D7%99%D7%94
681	http://maagarim.hebrew-academy.org.il/?koderekh=681	אהליא	באהלייא	http://maagarim.hebrew-academy.org.il/?koderekh=681&tsura=%D7%91%D7%90%D7%94%D7%9C%D7%99%D7%99%D7%90
693	http://maagarim.hebrew-academy.org.il/?koderekh=693	אהרסן	אהרסן	http://maagarim.hebrew-academy.org.il/?koderekh=693&tsura=%D7%90%D7%94%D7%A8%D7%A1%D7%9F
715	http://maagarim.hebrew-academy.org.il/?koderekh=715	אובל	אובל	http://maagarim.hebrew-academy.org.il/?koderekh=715&tsura=%D7%90%D7%95%D7%91%D7%9C
715	http://maagarim.hebrew-academy.org.il/?koderekh=715	אובל	באובל	http://maagarim.hebrew-academy.org.il/?koderekh=715&tsura=%D7%91%D7%90%D7%95%D7%91%D7%9C
715	http://maagarim.hebrew-academy.org.il/?koderekh=715	אובל	מאובל	http://maagarim.hebrew-academy.org.il/?koderekh=715&tsura=%D7%9E%D7%90%D7%95%D7%91%D7%9C
719	http://maagarim.hebrew-academy.org.il/?koderekh=719	אוגדור	אוגדור	http://maagarim.hebrew-academy.org.il/?koderekh=719&tsura=%D7%90%D7%95%D7%92%D7%93%D7%95%D7%A8
719	http://maagarim.hebrew-academy.org.il/?koderekh=719	אוגדור	זגדור	http://maagarim.hebrew-academy.org.il/?koderekh=719&tsura=%D7%96%D7%92%D7%93%D7%95%D7%A8
724	http://maagarim.hebrew-academy.org.il/?koderekh=724	אוגרו	אוגרו	http://maagarim.hebrew-academy.org.il/?koderekh=724&tsura=%D7%90%D7%95%D7%92%D7%A8%D7%95
749	http://maagarim.hebrew-academy.org.il/?koderekh=749	אוטרנטו	אודרנטו	http://maagarim.hebrew-academy.org.il/?koderekh=749&tsura=%D7%90%D7%95%D7%93%D7%A8%D7%A0%D7%98%D7%95
749	http://maagarim.hebrew-academy.org.il/?koderekh=749	אוטרנטו	באודרנטו	http://maagarim.hebrew-academy.org.il/?koderekh=749&tsura=%D7%91%D7%90%D7%95%D7%93%D7%A8%D7%A0%D7%98%D7%95
749	http://maagarim.hebrew-academy.org.il/?koderekh=749	אוטרנטו	ואודרנטו	http://maagarim.hebrew-academy.org.il/?koderekh=749&tsura=%D7%95%D7%90%D7%95%D7%93%D7%A8%D7%A0%D7%98%D7%95
749	http://maagarim.hebrew-academy.org.il/?koderekh=749	אוטרנטו	ובאודרנטו	http://maagarim.hebrew-academy.org.il/?koderekh=749&tsura=%D7%95%D7%91%D7%90%D7%95%D7%93%D7%A8%D7%A0%D7%98%D7%95
794	http://maagarim.hebrew-academy.org.il/?koderekh=794	אולינתוס	אולינתון	http://maagarim.hebrew-academy.org.il/?koderekh=794&tsura=%D7%90%D7%95%D7%9C%D7%99%D7%A0%D7%AA%D7%95%D7%9F
798	http://maagarim.hebrew-academy.org.il/?koderekh=798	אולם	ואולי	http://maagarim.hebrew-academy.org.il/?koderekh=798&tsura=%D7%95%D7%90%D7%95%D7%9C%D7%99
798	http://maagarim.hebrew-academy.org.il/?koderekh=798	אולם	ואולם	http://maagarim.hebrew-academy.org.il/?koderekh=798&tsura=%D7%95%D7%90%D7%95%D7%9C%D7%9D
798	http://maagarim.hebrew-academy.org.il/?koderekh=798	אולם	מאולם	http://maagarim.hebrew-academy.org.il/?koderekh=798&tsura=%D7%9E%D7%90%D7%95%D7%9C%D7%9D
798	http://maagarim.hebrew-academy.org.il/?koderekh=798	אולם	מאילים	http://maagarim.hebrew-academy.org.il/?koderekh=798&tsura=%D7%9E%D7%90%D7%99%D7%9C%D7%99%D7%9D
799	http://maagarim.hebrew-academy.org.il/?koderekh=799	אולן	אולן	http://maagarim.hebrew-academy.org.il/?koderekh=799&tsura=%D7%90%D7%95%D7%9C%D7%9F
827	http://maagarim.hebrew-academy.org.il/?koderekh=827	און	און	http://maagarim.hebrew-academy.org.il/?koderekh=827&tsura=%D7%90%D7%95%D7%9F
827	http://maagarim.hebrew-academy.org.il/?koderekh=827	און	באון	http://maagarim.hebrew-academy.org.il/?koderekh=827&tsura=%D7%91%D7%90%D7%95%D7%9F
832	http://maagarim.hebrew-academy.org.il/?koderekh=832	אונו	או'	http://maagarim.hebrew-academy.org.il/?koderekh=832&tsura=%D7%90%D7%95'
832	http://maagarim.hebrew-academy.org.il/?koderekh=832	אונו	אונו	http://maagarim.hebrew-academy.org.il/?koderekh=832&tsura=%D7%90%D7%95%D7%A0%D7%95
832	http://maagarim.hebrew-academy.org.il/?koderekh=832	אונו	אוני	http://maagarim.hebrew-academy.org.il/?koderekh=832&tsura=%D7%90%D7%95%D7%A0%D7%99
832	http://maagarim.hebrew-academy.org.il/?koderekh=832	אונו	באוני	http://maagarim.hebrew-academy.org.il/?koderekh=832&tsura=%D7%91%D7%90%D7%95%D7%A0%D7%99
832	http://maagarim.hebrew-academy.org.il/?koderekh=832	אונו	ואונו	http://maagarim.hebrew-academy.org.il/?koderekh=832&tsura=%D7%95%D7%90%D7%95%D7%A0%D7%95
832	http://maagarim.hebrew-academy.org.il/?koderekh=832	אונו	לאונו	http://maagarim.hebrew-academy.org.il/?koderekh=832&tsura=%D7%9C%D7%90%D7%95%D7%A0%D7%95
842	http://maagarim.hebrew-academy.org.il/?koderekh=842	אוסיה	אוסיה	http://maagarim.hebrew-academy.org.il/?koderekh=842&tsura=%D7%90%D7%95%D7%A1%D7%99%D7%94
846	http://maagarim.hebrew-academy.org.il/?koderekh=846	אופז	אופז	http://maagarim.hebrew-academy.org.il/?koderekh=846&tsura=%D7%90%D7%95%D7%A4%D7%96
846	http://maagarim.hebrew-academy.org.il/?koderekh=846	אופז	ואופז	http://maagarim.hebrew-academy.org.il/?koderekh=846&tsura=%D7%95%D7%90%D7%95%D7%A4%D7%96
846	http://maagarim.hebrew-academy.org.il/?koderekh=846	אופז	מאופז	http://maagarim.hebrew-academy.org.il/?koderekh=846&tsura=%D7%9E%D7%90%D7%95%D7%A4%D7%96
849	http://maagarim.hebrew-academy.org.il/?koderekh=849	אופיר	אופיר	http://maagarim.hebrew-academy.org.il/?koderekh=849&tsura=%D7%90%D7%95%D7%A4%D7%99%D7%A8
849	http://maagarim.hebrew-academy.org.il/?koderekh=849	אופיר	אופירה	http://maagarim.hebrew-academy.org.il/?koderekh=849&tsura=%D7%90%D7%95%D7%A4%D7%99%D7%A8%D7%94
849	http://maagarim.hebrew-academy.org.il/?koderekh=849	אופיר	אופירי	http://maagarim.hebrew-academy.org.il/?koderekh=849&tsura=%D7%90%D7%95%D7%A4%D7%99%D7%A8%D7%99
849	http://maagarim.hebrew-academy.org.il/?koderekh=849	אופיר	אופירים	http://maagarim.hebrew-academy.org.il/?koderekh=849&tsura=%D7%90%D7%95%D7%A4%D7%99%D7%A8%D7%99%D7%9D
849	http://maagarim.hebrew-academy.org.il/?koderekh=849	אופיר	באופיר	http://maagarim.hebrew-academy.org.il/?koderekh=849&tsura=%D7%91%D7%90%D7%95%D7%A4%D7%99%D7%A8
849	http://maagarim.hebrew-academy.org.il/?koderekh=849	אופיר	ואופיר	http://maagarim.hebrew-academy.org.il/?koderekh=849&tsura=%D7%95%D7%90%D7%95%D7%A4%D7%99%D7%A8
849	http://maagarim.hebrew-academy.org.il/?koderekh=849	אופיר	לאופיר	http://maagarim.hebrew-academy.org.il/?koderekh=849&tsura=%D7%9C%D7%90%D7%95%D7%A4%D7%99%D7%A8
849	http://maagarim.hebrew-academy.org.il/?koderekh=849	אופיר	מאופיר	http://maagarim.hebrew-academy.org.il/?koderekh=849&tsura=%D7%9E%D7%90%D7%95%D7%A4%D7%99%D7%A8
866	http://maagarim.hebrew-academy.org.il/?koderekh=866	אוקסידרקס	אוקיסידרקס	http://maagarim.hebrew-academy.org.il/?koderekh=866&tsura=%D7%90%D7%95%D7%A7%D7%99%D7%A1%D7%99%D7%93%D7%A8%D7%A7%D7%A1
878	http://maagarim.hebrew-academy.org.il/?koderekh=878	אור כשׂדים	אור	http://maagarim.hebrew-academy.org.il/?koderekh=878&tsura=%D7%90%D7%95%D7%A8
878	http://maagarim.hebrew-academy.org.il/?koderekh=878	אור כשׂדים	אורכשד	http://maagarim.hebrew-academy.org.il/?koderekh=878&tsura=%D7%90%D7%95%D7%A8%D7%9B%D7%A9%D7%93
878	http://maagarim.hebrew-academy.org.il/?koderekh=878	אור כשׂדים	אורכשדים	http://maagarim.hebrew-academy.org.il/?koderekh=878&tsura=%D7%90%D7%95%D7%A8%D7%9B%D7%A9%D7%93%D7%99%D7%9D
878	http://maagarim.hebrew-academy.org.il/?koderekh=878	אור כשׂדים	באורכסדים	http://maagarim.hebrew-academy.org.il/?koderekh=878&tsura=%D7%91%D7%90%D7%95%D7%A8%D7%9B%D7%A1%D7%93%D7%99%D7%9D
878	http://maagarim.hebrew-academy.org.il/?koderekh=878	אור כשׂדים	באורכשדים	http://maagarim.hebrew-academy.org.il/?koderekh=878&tsura=%D7%91%D7%90%D7%95%D7%A8%D7%9B%D7%A9%D7%93%D7%99%D7%9D
878	http://maagarim.hebrew-academy.org.il/?koderekh=878	אור כשׂדים	ואור	http://maagarim.hebrew-academy.org.il/?koderekh=878&tsura=%D7%95%D7%90%D7%95%D7%A8
878	http://maagarim.hebrew-academy.org.il/?koderekh=878	אור כשׂדים	ומאור	http://maagarim.hebrew-academy.org.il/?koderekh=878&tsura=%D7%95%D7%9E%D7%90%D7%95%D7%A8
878	http://maagarim.hebrew-academy.org.il/?koderekh=878	אור כשׂדים	ומאורכשדים	http://maagarim.hebrew-academy.org.il/?koderekh=878&tsura=%D7%95%D7%9E%D7%90%D7%95%D7%A8%D7%9B%D7%A9%D7%93%D7%99%D7%9D
878	http://maagarim.hebrew-academy.org.il/?koderekh=878	אור כשׂדים	כשדים	http://maagarim.hebrew-academy.org.il/?koderekh=878&tsura=%D7%9B%D7%A9%D7%93%D7%99%D7%9D
878	http://maagarim.hebrew-academy.org.il/?koderekh=878	אור כשׂדים	לאורכשד	http://maagarim.hebrew-academy.org.il/?koderekh=878&tsura=%D7%9C%D7%90%D7%95%D7%A8%D7%9B%D7%A9%D7%93
878	http://maagarim.hebrew-academy.org.il/?koderekh=878	אור כשׂדים	מאור	http://maagarim.hebrew-academy.org.il/?koderekh=878&tsura=%D7%9E%D7%90%D7%95%D7%A8
878	http://maagarim.hebrew-academy.org.il/?koderekh=878	אור כשׂדים	מאורכסד	http://maagarim.hebrew-academy.org.il/?koderekh=878&tsura=%D7%9E%D7%90%D7%95%D7%A8%D7%9B%D7%A1%D7%93
878	http://maagarim.hebrew-academy.org.il/?koderekh=878	אור כשׂדים	מאורכסדים	http://maagarim.hebrew-academy.org.il/?koderekh=878&tsura=%D7%9E%D7%90%D7%95%D7%A8%D7%9B%D7%A1%D7%93%D7%99%D7%9D
878	http://maagarim.hebrew-academy.org.il/?koderekh=878	אור כשׂדים	מאורכשד	http://maagarim.hebrew-academy.org.il/?koderekh=878&tsura=%D7%9E%D7%90%D7%95%D7%A8%D7%9B%D7%A9%D7%93
878	http://maagarim.hebrew-academy.org.il/?koderekh=878	אור כשׂדים	מאורכשדיים	http://maagarim.hebrew-academy.org.il/?koderekh=878&tsura=%D7%9E%D7%90%D7%95%D7%A8%D7%9B%D7%A9%D7%93%D7%99%D7%99%D7%9D
878	http://maagarim.hebrew-academy.org.il/?koderekh=878	אור כשׂדים	מאורכשדים	http://maagarim.hebrew-academy.org.il/?koderekh=878&tsura=%D7%9E%D7%90%D7%95%D7%A8%D7%9B%D7%A9%D7%93%D7%99%D7%9D
878	http://maagarim.hebrew-academy.org.il/?koderekh=878	אור כשׂדים	מיאור	http://maagarim.hebrew-academy.org.il/?koderekh=878&tsura=%D7%9E%D7%99%D7%90%D7%95%D7%A8
886	http://maagarim.hebrew-academy.org.il/?koderekh=886	אורונטס	אורינטין	http://maagarim.hebrew-academy.org.il/?koderekh=886&tsura=%D7%90%D7%95%D7%A8%D7%99%D7%A0%D7%98%D7%99%D7%9F
886	http://maagarim.hebrew-academy.org.il/?koderekh=886	אורונטס	אראנד	http://maagarim.hebrew-academy.org.il/?koderekh=886&tsura=%D7%90%D7%A8%D7%90%D7%A0%D7%93
886	http://maagarim.hebrew-academy.org.il/?koderekh=886	אורונטס	אראנטעס	http://maagarim.hebrew-academy.org.il/?koderekh=886&tsura=%D7%90%D7%A8%D7%90%D7%A0%D7%98%D7%A2%D7%A1
898	http://maagarim.hebrew-academy.org.il/?koderekh=898	אוריה	אויירו	http://maagarim.hebrew-academy.org.il/?koderekh=898&tsura=%D7%90%D7%95%D7%99%D7%99%D7%A8%D7%95
898	http://maagarim.hebrew-academy.org.il/?koderekh=898	אוריה	אויירי	http://maagarim.hebrew-academy.org.il/?koderekh=898&tsura=%D7%90%D7%95%D7%99%D7%99%D7%A8%D7%99
898	http://maagarim.hebrew-academy.org.il/?koderekh=898	אוריה	אוירי	http://maagarim.hebrew-academy.org.il/?koderekh=898&tsura=%D7%90%D7%95%D7%99%D7%A8%D7%99
898	http://maagarim.hebrew-academy.org.il/?koderekh=898	אוריה	אוריס	http://maagarim.hebrew-academy.org.il/?koderekh=898&tsura=%D7%90%D7%95%D7%A8%D7%99%D7%A1
898	http://maagarim.hebrew-academy.org.il/?koderekh=898	אוריה	אורן	http://maagarim.hebrew-academy.org.il/?koderekh=898&tsura=%D7%90%D7%95%D7%A8%D7%9F
898	http://maagarim.hebrew-academy.org.il/?koderekh=898	אוריה	אורס	http://maagarim.hebrew-academy.org.il/?koderekh=898&tsura=%D7%90%D7%95%D7%A8%D7%A1
898	http://maagarim.hebrew-academy.org.il/?koderekh=898	אוריה	באויירי	http://maagarim.hebrew-academy.org.il/?koderekh=898&tsura=%D7%91%D7%90%D7%95%D7%99%D7%99%D7%A8%D7%99
898	http://maagarim.hebrew-academy.org.il/?koderekh=898	אוריה	באוירי	http://maagarim.hebrew-academy.org.il/?koderekh=898&tsura=%D7%91%D7%90%D7%95%D7%99%D7%A8%D7%99
898	http://maagarim.hebrew-academy.org.il/?koderekh=898	אוריה	ובאורן	http://maagarim.hebrew-academy.org.il/?koderekh=898&tsura=%D7%95%D7%91%D7%90%D7%95%D7%A8%D7%9F
898	http://maagarim.hebrew-academy.org.il/?koderekh=898	אוריה	ומאורי	http://maagarim.hebrew-academy.org.il/?koderekh=898&tsura=%D7%95%D7%9E%D7%90%D7%95%D7%A8%D7%99
916	http://maagarim.hebrew-academy.org.il/?koderekh=916	אושׁא	אושא	http://maagarim.hebrew-academy.org.il/?koderekh=916&tsura=%D7%90%D7%95%D7%A9%D7%90
916	http://maagarim.hebrew-academy.org.il/?koderekh=916	אושׁא	אושה	http://maagarim.hebrew-academy.org.il/?koderekh=916&tsura=%D7%90%D7%95%D7%A9%D7%94
916	http://maagarim.hebrew-academy.org.il/?koderekh=916	אושׁא	אושהא	http://maagarim.hebrew-academy.org.il/?koderekh=916&tsura=%D7%90%D7%95%D7%A9%D7%94%D7%90
916	http://maagarim.hebrew-academy.org.il/?koderekh=916	אושׁא	באושא	http://maagarim.hebrew-academy.org.il/?koderekh=916&tsura=%D7%91%D7%90%D7%95%D7%A9%D7%90
916	http://maagarim.hebrew-academy.org.il/?koderekh=916	אושׁא	באושה	http://maagarim.hebrew-academy.org.il/?koderekh=916&tsura=%D7%91%D7%90%D7%95%D7%A9%D7%94
916	http://maagarim.hebrew-academy.org.il/?koderekh=916	אושׁא	באושיא	http://maagarim.hebrew-academy.org.il/?koderekh=916&tsura=%D7%91%D7%90%D7%95%D7%A9%D7%99%D7%90
916	http://maagarim.hebrew-academy.org.il/?koderekh=916	אושׁא	ואושא	http://maagarim.hebrew-academy.org.il/?koderekh=916&tsura=%D7%95%D7%90%D7%95%D7%A9%D7%90
