Id	primary_heb_full	variant	PlaceId	SourceId
169	אבו גוש (ישראל)	אבו גוש	20678	2
176	אבו דאבי (איחוד האמירויות הערביות : אמירות)	אבו דאבי	11770	4
186	אבו דאבי (איחוד האמירויות הערביות)	אבו דאבי	11769	4
188	אבוויל (לואיזיאנה)	אבוויל	11024	4
190	אבו זנימה (מצרים)	אבו זנימה	26002	4
192	אבו חמיד (ירדן)	אבו חמיד	20729	4
195	אבו טור (ירושלים, ישראל)	אבו טור	22418	4
196	אבו טור (ירושלים, ישראל)	אבו תור	22418	4
197	אבו טור (ירושלים, ישראל)	גבעת חנניה	22418	4
198	אבו טור (ירושלים, ישראל)	שכונת אבו טור	22418	4
200	אבוטספורד (אוסטרליה)	אבוטספורד	25315	4
202	אבויל (צרפת)	אבויל	11863	4
205	אבו כביר (תל אביב-יפו, ישראל)	אבו כביר	25337	4
206	אבו כביר (תל אביב-יפו, ישראל)	תל אל כביר	25337	2
208	אבולי (איטליה)	אבולי	17186	4
209	אבולי (איטליה)	איבולי	17186	4
211	אבולין (שווייץ)	אבולין	16022	4
218	אבו מוסא (אי)	אבו מוסא	3163	4
222	אבו מינה (עיר קדומה)	אבו מינה	4218	4
224	אבונדאנט (צרפת)	אבונדאנט	26320	4
229	אבו סימבל (מצרים)	אבו סימבל	7335	4
232	אבוסיר אל.מלך (מצרים)	אבוסיר אל.מלך	6112	4
235	אבו סלאביח' (עיראק)	אבו סלאביח'	15352	4
239	אבו עגילה (מצרים)	אבו עגילה	16220	4
242	אבוקה (ישראל)	אבוקה	21533	2
243	אבוקה (ישראל)	קבוצת גורדוניה שדמות	21533	2
248	אבו קורינאת (יישוב) (ישראל)	אבו קורינאת	26073	4
250	אבו קישק (ישראל)	אבו קישק	21701	4
252	אבורה (פורטוגל)	אבורה	8238	4
253	אבורה (פורטוגל)	איברא	8238	4
255	אבו רמאד (מצרים)	אבו רמאד	21107	4
258	אבו שושה (ישראל)	אבו שושה	18940	4
270	אבחזיה (גאורגיה)	אבחזיה	17170	4
272	אבטון (מקסיקו)	אבטון	12769	4
273	אבטליון (ישראל)	אבטליון	725	2
275	אבטרודה (גרמניה)	אבטרודה	26367	4
277	אביאטה גואצונה (איטליה)	אביאטה גואצונה	26559	4
278	אביאל (ישראל)	אביאל	726	2
282	אביאן (תימן : פרובינציה)	אביאן	15904	4
284	אביבים (ישראל)	אביבים	727	2
286	אביגדור (ישראל)	אביגדור	728	2
288	אבידג'אן (חוף השנהב)	אבידג'אן	8216	4
290	אבידוס (מצרים : עיר קדומה)	אבידוס	4579	4
304	אביה (יוון : אי)	אביה	1411	4
306	אביות' (צרפת)	אביות'	18557	4
308	אביחיל (ישראל)	אביחיל	729	2
311	אביטיבי (קוויבק)	אביטיבי	10864	4
313	אביטיבי-טמיסקמינג (קוויבק)	אביטיבי-טמיסקמינג	3003	4
314	אביטל (ישראל)	אביטל	730	2
316	אביי (סודאן)	אביי	14580	4
318	אביירו (פורטוגל)	אביירו	11916	4
320	אבינגדון (אנגליה)	אבינגדון	14694	4
324	אבינגן (אלבשטט, גרמניה)	אבינגן	15131	4
326	אביניון (עיר אפיפיורית)	אביניון	19779	4
328	אבינסטון (פלורידה)	אבינסטון	18715	4
329	אבינסטון (פלורידה)	אווינסטון	18715	4
331	אביס אל מוסטג'דה (מצרים)	אביס אל מוסטג'דה	16783	4
332	אביעזר (ישראל)	אביעזר	731	2
334	אביקי (ניו מקסיקו)	אביקי	7924	4
336	אבירון (צרפת)	אבירון	6179	4
341	אבירים (ישראל)	אבירים	23137	2
342	אבירים (ישראל)	מצפה אבירים	23137	2
343	אבירים (ישראל)	מצפה אברים	23137	4
347	אבל בית מעכה (ישראל)	אבל בית מעכה	22022	4
348	אבל בית מעכה (ישראל)	תל אבל בית מעכה	22022	4
350	אבלון (ניו ג'רזי)	אבלון	16804	4
351	אבלון (ניו ג'רזי)	אוולון	16804	4
353	אבלון (צרפת)	אבלון	13626	4
355	אבלון (קליפורניה)	אבלון	19474	4
358	אבלון סור סן (צרפת)	אבלון סור סן	17566	4
360	אבליג'ה (צרפת)	אבליג'ה	26319	4
362	אבלין (טקסס)	אבלין	10841	4
364	אבלינו (איטליה)	אבלינו	10540	4
366	אבל מחולה (ישראל)	אבל מחולה	22023	4
369	אבלסברג (לינץ, אוסטריה)	אבלסברג	20170	4
370	אבלסברג (לינץ, אוסטריה)	לינץ-אבלסברג	20170	4
372	אבן גיר וואהו (אלסקה)	אבן גיר וואהו	4383	4
374	אבנזה (אוסטריה)	אבנזה	16379	4
376	אבני איתן (ישראל)	אבני איתן	23150	4
379	אבן יהודה (ישראל)	אבן יהודה	732	2
380	אבן יהודה (ישראל)	אבן-יהודה	732	2
385	אבני חול נבאחו	אבני חול נבאחו	3159	4
388	אבן ישראל (ירושלים, ישראל)	אבן ישראל	26960	4
389	אבן ישראל (ירושלים, ישראל)	שכונת אבן ישראל	26960	4
391	אבן מנחם (ישראל)	אבן מנחם	23242	4
392	אבן מנחם (ישראל)	מושב אבן מנחם	23242	2
394	אבנסברג (קלהיים, גרמניה)	אבנסברג	10923	4
395	אבנסברג (קלהיים, גרמניה)	אבנשפערק	10923	4
397	אבנסטון (אילינוי)	אבנסטון	7646	4
398	אבנסטון (אילינוי)	אוונסטון	7646	4
399	אבנסטון (אילינוי)	אונסטון	7646	4
400	אבן ספיר (ישראל)	אבן ספיר	734	2
403	אבן עומאר (סוריה : אי)	אבן עומאר	4249	4
405	אבנעזר (מחוז אפינגהם, ג'ורג'יה)	אבנעזר	13107	4
407	אבנרודא (גרמניה)	אבנרודא	23642	4
411	אבן שמואל (ישראל)	אבן שמואל	21693	4
413	אבסקון (ניו ג'רזי)	אבסיקון	14613	4
414	אבסקון (ניו ג'רזי)	אבסקון	14613	4
416	אבעלויטענבאך (צרפת)	אבעלויטענבאך	23549	4
418	אבקפה (צפון מערב פרובינציה, קמרון)	אבקפה	17388	4
420	אבראו א לימה (ברזיל)	אבראו א לימה	25312	4
422	אברדורף (גרמניה)	אברדורף	23548	4
423	אברדורף (גרמניה)	אוברדארף	23548	4
425	אברדין (דקוטה הדרומית)	אברדין	11808	4
432	אברדין (סקוטלנד)	אברדין	8378	4
434	אברדינגן (גרמניה)	אברדינגן	15804	4
437	אברדינשייר (סקוטלנד)	אברדינשייר	12638	4
439	אברדר (ויילס)	אברדר	20759	4
443	אברוצו (איטליה)	אברוצו	6359	4
445	אברי (צרפת)	אברי	18211	4
448	אבריטוס (עיר קדומה)	אבריטוס	1591	4
450	אבריל (מן ולואר, צרפת)	אבריל	16249	4
452	אבריסט (הולנד)	אבריסט	18290	4
455	אבריסטווית (ויילס)	אבריסטווית	10981	4
457	אברך (פרנקוניה עילית, גרמניה)	אברך	15478	4
459	אברמאנשטאדט (גרמניה)	אברמאנשטאדט	18975	4
461	אברמצבו (מחוז אגורסק, רוסיה)	אברמצבו	10117	4
463	אברנש (צרפת)	אברנש	16061	4
465	אברסה (איטליה)	אברסה	12660	4
466	אברסה (איטליה)	אוורצא	12660	4
467	אברסה (איטליה)	אוירצה	12660	4
469	אבשלום (ישראל)	אבשלום	23151	4
471	אג'אסיו (צרפת)	אג'אסיו	12664	4
472	אג'אסיו (צרפת)	איאצ'ו	12664	4
474	אג'ד (צרפת)	אג'ד	17226	4
475	אג'ד (צרפת)	אגדי	17226	4
476	אג'ד (צרפת)	אקדי	17226	4
478	אג'ווד (מרילנד)	אג'ווד	10445	4
480	אג'ווד (ניו יורק)	אג'ווד	24694	4
485	אג'ליל (ישראל)	אג'ליל	27095	4
486	אג'ליל (ישראל)	ג'ליל אל קבליה	27095	4
487	אג'ליל (ישראל)	ג'ליל אש-שמליה	27095	4
490	אג'מיר (ניו יורק)	אג'מיר	24695	4
492	אג'מר (הודו)	אג'מר	17597	4
494	אג'מר-מרוורה (הודו)	אג'מר-מרוורה	17397	4
496	אג'נה (צרפת)	אג'נה	10504	4
499	אגדז (ניז'ר : מחוז)	אגדז	16353	4
501	אגהם (אנגליה)	אגהם	15739	4
503	אגואה פריאטה (סונורה, מקסיקו)	אגואה פריאטה	19107	4
506	אגואישהיים (צרפת)	אגואישהיים	17199	4
508	אגואס דה לינדויה (ברזיל)	אגואס דה לינדויה	10474	4
510	אגואס דה סנטה ברברה (ברזיל)	אגואס דה סנטה ברברה	20509	4
513	אגואס קליינטס (פרו)	אגואס קליינטס	16569	4
515	אגואקטאן (גואטמלה)	אגואקטאן	6273	4
517	אגודת אינדיאנים צ'ילקוט (היינס)	אגודת אינדיאנים צ'ילקוט	12151	4
519	אגודת הקהילה אנגון	אגודת הקהילה אנגון	12150	4
521	אגו היקוות נהר סלפר (טקסס וארקנסו)	אגו היקוות נהר סלפר	4829	4
523	אגו היקקות נהר ביוור (יוטה)	אגו היקקות נהר ביוור	4201	4
525	אגולסהיים (סלה, גרמניה)	אגולסהיים	24628	4
526	אגולסהיים (סלה, גרמניה)	עקליסהיים	24628	4
528	אגורה (אתונה, יוון)	אגורה	1750	4
530	אגורה (קורינתוס, יוון)	אגורה	23253	4
534	אגורה (קירניה)	אגורה	1749	4
536	אגורה הילס (קליפורניה)	אגורה הילס	18811	4
540	אגיהפוטיה (יוון)	אגיהפוטיה	20439	4
544	אגילר דה קמפו (ספרד)	אגילר דה קמפו	16675	4
546	אגינדארף (אוסטריה)	אגינדארף	23437	4
550	אגינה (יוון)	אגינה	18760	4
552	אגלסבך (גרמניה)	אגלסבך	17897	4
556	אגם אואהי (דרום דקוקה וצפון דקוטה)	אגם אואהי	3448	4
558	אגם אוונס (קליפורניה)	אגם אוונס	26948	4
564	אגם אוחריד (מקדוניה ואלבניה)	אגם אוחריד	5385	4
566	אגם אוטסה (בריטיש קולומביה)	אגם אוטסה	17129	4
568	אגם אונונדגה (ניו יורק)	אגם אונונדגה	3269	4
570	אגם אונטריו (ניו יוק ואונטריו)	אגם אונטריו	2868	4
573	אגם אטיטלן (גואטמלה)	אגם אטיטלן	1944	4
585	אגם אייסל (הולנד)	אגם אייסל	1366	4
587	אגם אייר (דרום אוסטרליה)	אגם אייר	3500	4
590	אגם אינלה (בורמה)	אגם אינלה	5794	4
592	אגם אירי	אגם אירי	1250	4
598	אגם אלברט (קונגו ואוגנדה)	אגם אלברט	5791	4
601	אגם אלוול (מונטנה)	אגם אלוול	23273	4
603	אגם אליוט (אונטריו)	אגם אליוט	6230	4
605	אגם אלסינור (קליפורניה)	אגם אלסינור	18587	4
614	אגם אר (סין)	אגם אר	5273	4
623	אגם באיקל (רוסיה)	אגם באיקל	1794	4
626	אגם בוהין (סלובניה)	אגם בוהין	5060	4
630	אגם בולסנה (איטליה)	אגם בולסנה	4232	4
632	אגם בונוויל	אגם בונוויל	3895	4
636	אגם ביישהיר (טורקיה)	אגם ביישהיר	6652	4
638	אגם בלד (סלובניה)	אגם בלד	19787	4
642	אגם בלטון (הונגריה)	אגם בלטון	1798	4
644	אגם ברדוויל (מצרים)	אגם ברדוויל	21730	4
646	אגם ג'ורג' (ניו יורק : אגם)	אגם ג'ורג'	1490	4
648	אגם גרגורי (אוסטרליה)	אגם גרגורי	4222	4
653	אגם גרדה (איטליה)	אגם גרדה	1481	4
655	אגם ההר (מינסוטה)	אגם ההר	13253	4
657	אגם הורון (מישיגן ואונטריו)	אגם הורון	1373	4
660	אגם החולה (ישראל)	אגם החולה	21566	4
663	אגם המלח הגדול (יוטה)	אגם המלח הגדול	1288	4
665	אגם ואן (טורקיה)	אגם ואן	23656	4
667	אגם וויליאמס (בריטיש קולומביה)	אגם וויליאמס	12131	4
669	אגם וויניפג (מניטובה)	אגם וויניפג	3724	4
671	אגם ווינפסוקי (ניו המפשייר)	אגם ווינפסוקי	3725	4
673	אגם וולדן (מחוז מידלסקס, מסצ'וסטס)	אגם וולדן	5847	4
675	אגם וולטה (גאנה)	אגם וולטה	6744	4
678	אגם ווסטוק (אנטארקטיקה)	אגם ווסטוק	6680	4
680	אגם ויסקונסין (ויסקונסין)	אגם ויסקונסין	20237	4
683	אגמון החולה (ישראל)	אגמון החולה	22918	4
685	אג-מורט (צרפת)	אג-מורט	13537	4
694	אגם ז'נבה (שווייץ וצרפת)	אגם ז'נבה	1489	4
704	אגם חופסגול (מונגוליה)	אגם חופסגול	4734	4
706	אגם טאהו (קליפורניה ונבדה)	אגם טאהו	2461	4
708	אגם טאנה (אתיופיה)	אגם טאנה	2358	4
710	אגם טולייר (קליפורניה)	אגם טולייר	2320	4
715	אגם טיטיקקה (פרו ובוליביה)	אגם טיטיקקה	2351	4
719	אגם טיקטוריה	אגם טיקטוריה	3669	4
722	אגם טנגניקה	אגם טנגניקה	2284	4
724	אגם יוטה (יוטה)	אגם יוטה	3816	4
745	אגם כנרת (ישראל)	אגם כנרת	2268	4
746	אגם כנרת (ישראל)	ים כנרת	2268	4
754	אגם לגואנו (שווייץ ואיטליה)	אגם לגואנו	5900	4
759	אגם לדוגה (רוסיה)	אגם לדוגה	2713	4
767	אגם מאג'ורה (איטליה ושוויץ)	אגם מאג'ורה	2606	4
773	אגם מאנאסארוור (סין)	אגם מאנאסארוור	2564	4
776	אגם מואריס (מצרים)	אגם מואריס	3825	4
778	אגם מונו (קליפורניה)	אגם מונו	2977	4
779	אגם מונטרוסי (איטליה)	אגם מונטרוסי	22567	4
782	אגם מיד (אריזונה ונבדה)	אגם מיד	2915	4
784	אגם מירור (מחוז גרפטון, ניו המפשייר)	אגם מירור	2901	4
786	אגם מישיגן	אגם מישיגן	2886	4
795	אגם מנזלה (פורט סעיד, מצרים)	אגם מנזלה	23256	4
799	אגם מר צ'יקיטה (קורדובה, ארגנטינה)	אגם מר צ'יקיטה	2571	4
803	אגם נאוול ואפי (ארגנטינה)	אגם נאוול ואפי	3399	4
805	אגם נאיוואשה (קניה)	אגם נאיוואשה	3006	4
809	אגם נאצר (מצרים וסודן)	אגם נאצר	3974	4
811	אגם נאקורו (קניה)	אגם נאקורו	5717	4
815	אגם נארוץ' (בלארוס)	אגם נארוץ'	4172	4
818	אגם נגמי (בוטסואנה)	אגם נגמי	5221	4
823	אגם ניאסה	אגם ניאסה	2846	4
825	אגם ניום (קמרון)	אגם ניום	4387	4
830	אגם נמי (איטליה)	אגם נמי	5453	4
841	אגם סוואן (ארמניה)	אגם סוואן	3048	4
843	אגם סטאר (ניו יורק)	אגם סטאר	18159	4
846	אגם סטכלין (גרמניה)	אגם סטכלין	2488	4
849	אגם סקקאוויה (צפון דקוטה)	אגם סקקאוויה	3449	4
851	אגם פאוול (יוטה ואריזונה)	אגם פאוול	2244	4
853	אגם פונטצ'רטריין (לואיזיאנה)	אגם פונטצ'רטריין	2235	4
859	אגם פופו (בוליביה)	אגם פופו	3187	4
861	אגם פירימידה (נבדה)	אגם פירימידה	2205	4
869	אגם צאיידם (סין)	אגם צאיידם	3945	4
876	אגם ציריך (שווייץ)	אגם ציריך	3700	4
879	אגם קאינג'י (ניגריה)	אגם קאינג'י	2630	4
880	אגם קואיפסה (בוליביה וצ'ילה)	אגם קואיפסה	2097	4
884	אגם קויצ'גיז (טורקיה)	אגם קויצ'גיז	4153	4
889	אגם קופאיס (יוון)	אגם קופאיס	3961	4
892	אגם קוקנוסה (בריטיש קולומביה ומונטנה)	אגם קוקנוסה	2719	4
895	אגם קיבו (קונגו ורואנדה)	אגם קיבו	2737	4
902	אגם קינגהאי (סין)	אגם קינגהאי	1217	4
909	אגם קמנדה (גרמניה)	אגם קמנדה	2652	4
912	אגם קריבה (זמביה וזימבבואה)	אגם קריבה	4138	4
914	אגם קרייטר (אורגון)	אגם קרייטר	1053	4
916	אגם קריסטל (אילינוי)	אגם קריסטל	10993	4
919	אגם רודולף (קניה ואתיופיה)	אגם רודולף	2005	4
922	אגם שטיינהודר (גרמניה)	אגם שטיינהודר	2490	4
925	אגם שיאנג (סין)	אגם שיאנג	3011	4
928	אגם שרפ (דרום דקוטה)	אגם שרפ	3857	4
930	אגם ת'ירלמר (אנגליה)	אגם ת'ירלמר	5976	4
932	אגן (צרפת)	אגן	14158	4
934	אגנבורג (אוסטריה)	אגנבורג	17228	4
936	אגן ביר טרפאווי (מצרים)	אגן ביר טרפאווי	4783	4
939	אגן בריב (צרפת)	אגן בריב	3208	4
943	אגן הדונייץ (אוקראינה ורוסיה)	אגן הדונייץ	1115	4
944	אגן היקוות אגם ויקטוריה	אגן היקוות אגם ויקטוריה	1502	4
947	אגן היקוות אגם טאהו (קליפורניה ונבדה)	אגן היקוות אגם טאהו	4852	4
949	אגן היקוות אגם טולייר (קליפורניה)	אגן היקוות אגם טולייר	4160	4
950	אגן היקוות אגם סופריור	אגן היקוות אגם סופריור	4775	4
952	אגן היקוות האגמים הגדולים (צפון אמריקה)	אגן היקוות האגמים הגדולים	4777	4
954	אגן היקוות ים אראל (אוזבקיסטן וקזחסטן)	אגן היקוות ים אראל	4190	4
956	אגן היקוות מפרץ סן פרנסיסקו (קליפורניה)	אגן היקוות מפרץ סן פרנסיסקו	4168	4
957	אגן היקוות מפרץ צ'ספיק	אגן היקוות מפרץ צ'ספיק	4779	4
959	אגן היקוות נהר אוהיו	אגן היקוות נהר אוהיו	4776	4
961	אגן היקוות נהר אורוגווי	אגן היקוות נהר אורוגווי	4176	4
963	אגן היקוות נהר אטצ'פליה (לואיזיאנה)	אגן היקוות נהר אטצ'פליה	4854	4
964	אגן היקוות נהר אילינוי	אגן היקוות נהר אילינוי	4167	4
966	אגן היקוות נהר ארקנסו	אגן היקוות נהר ארקנסו	4768	4
968	אגן היקוות נהר בייר (יוטה-איידהו)	אגן היקוות נהר בייר	4170	4
970	אגן היקוות נהר ביקול (פיליפינים)	אגן היקוות נהר ביקול	4781	4
972	אגן היקוות נהר גואדיאנה (ספרד ופורטוגל)	אגן היקוות נהר גואדיאנה	4755	4
974	אגן היקוות נהר גודברי (הודו)	אגן היקוות נהר גודברי	4849	4
976	אגן היקוות נהר גוניסון (קולורדו)	אגן היקוות נהר גוניסון	4774	4
978	אגן היקוות נהר גמביה	אגן היקוות נהר גמביה	4015	4
981	אגן היקוות נהר גרין (ויומינג-יוטה)	אגן היקוות נהר גרין	4808	4
983	אגן היקוות נהר גרנדה (פרו)	אגן היקוות נהר גרנדה	5110	4
985	אגן היקוות נהר דוארו (ספרד ופורטוגל)	אגן היקוות נהר דוארו	4771	4
988	אגן היקוות נהר דלאוור (ניו יורק, דלוור, ניו ג'רזי)	אגן היקוות נהר דלאוור	4802	4
991	אגן היקוות נהר דרלינג (אוסטרליה)	אגן היקוות נהר דרלינג	5048	4
994	אגן היקוות נהר האדום של הצפון	אגן היקוות נהר האדום של הצפון	4864	4
996	אגן היקוות נהר האודר	אגן היקוות נהר האודר	4873	4
998	אגן היקוות נהר האוקוונגו	אגן היקוות נהר האוקוונגו	4869	4
1000	אגן היקוות נהר האינדוס	אגן היקוות נהר האינדוס	4826	4
1002	אגן היקוות נהר הדנובה	אגן היקוות נהר הדנובה	4766	4
1004	אגן היקוות נהר הדנייפר	אגן היקוות נהר הדנייפר	4859	4
1006	אגן היקוות נהר הוקסברי (אוסטרליה)	אגן היקוות נהר הוקסברי	4816	4
1008	אגן היקוות נהר הזמבזי	אגן היקוות נהר הזמבזי	4850	4
1010	אגן היקוות נהר המז	אגן היקוות נהר המז	4761	4
1012	אגן היקוות נהר הפוטומק	אגן היקוות נהר הפוטומק	4752	4
1014	אגן היקוות נהר הפרת	אגן היקוות נהר הפרת	4867	4
1016	אגן היקוות נהר הריין	אגן היקוות נהר הריין	4815	4
1018	אגן היקוות נהר וינאלופו (ספרד)	אגן היקוות נהר וינאלופו	5504	4
1020	אגן היקוות נהר וירג'ין	אגן היקוות נהר וירג'ין	4825	4
1023	אגן היקוות נהר חבור (טורקיה וסוריה)	אגן היקוות נהר חבור	4801	4
1025	אגן היקוות נהר חידקל	אגן היקוות נהר חידקל	4868	4
1027	אגן היקוות נהר טומס (ניו ג'רזי)	אגן היקוות נהר טומס	4408	4
1029	אגן היקוות נהר טיסה	אגן היקוות נהר טיסה	4853	4
1031	אגן היקוות נהר טנסי	אגן היקוות נהר טנסי	4870	4
1033	אגן היקוות נהר יאליאס (קפריסין)	אגן היקוות נהר יאליאס	6560	4
1035	אגן היקוות נהר יאנגצה (סין)	אגן היקוות נהר יאנגצה	4762	4
1040	אגן היקוות נהר יוקון (יוקון ואלסקה)	אגן היקוות נהר יוקון	4860	4
1043	אגן היקוות נהר ילוסטון	אגן היקוות נהר ילוסטון	4773	4
1045	אגן היקוות נהר לוק וייל (קולורדו)	אגן היקוות נהר לוק וייל	4576	4
1047	אגן היקוות נהר ליאו (סין)	אגן היקוות נהר ליאו	5041	4
1049	אגן היקוות נהר מארי (אוסטרליה)	אגן היקוות נהר מארי	4847	4
1051	אגן היקוות נהר מוס (אונטריו)	אגן היקוות נהר מוס	4844	4
1054	אגן היקוות נהר מיזורי	אגן היקוות נהר מיזורי	4807	4
1056	אגן היקוות נהר מיסיסיפי	אגן היקוות נהר מיסיסיפי	4855	4
1059	אגן היקוות נהר מקונג	אגן היקוות נהר מקונג	4754	4
1061	אגן היקוות נהר מקנזי (טריטוריה הצפון-מערבית)	אגן היקוות נהר מקנזי	4851	4
1063	אגן היקוות נהר ניז'ר	אגן היקוות נהר ניז'ר	4764	4
1065	אגן היקוות נהר נצ'אקו (בריטיש קולומביה)	אגן היקוות נהר נצ'אקו	4224	4
1070	אגן היקוות נהר סאן חואקין (קליפורניה)	אגן היקוות נהר סאן חואקין	4757	4
1072	אגן היקוות נהר סוואנה (ג'ורג'יה ודרום קרולינה)	אגן היקוות נהר סוואנה	4840	4
1074	אגן היקוות נהר סכלדה	אגן היקוות נהר סכלדה	4836	4
1076	אגן היקוות נהר סנגל	אגן היקוות נהר סנגל	4758	4
1078	אגן היקוות נהר סנט ג'ונס (פלורידה)	אגן היקוות נהר סנט ג'ונס	4827	4
1080	אגן היקוות נהר סנט לורנס	אגן היקוות נהר סנט לורנס	4810	4
1083	אגן היקוות נהר סן פדרו (מקסיקו ואריזונה)	אגן היקוות נהר סן פדרו	1595	4
1086	אגן היקוות נהר ססקווהאנה	אגן היקוות נהר ססקווהאנה	4803	4
1088	אגן היקוות נהר פלאט (נברסקה)	אגן היקוות נהר פלאט	4857	4
1090	אגן היקוות נהר פלאט דרום (קולורדו ונברסקה)	אגן היקוות נהר פלאט דרום	4817	4
1093	אגן היקוות נהר פלינט (טנסי ואלבמה)	אגן היקוות נהר פלינט	5097	4
1095	אגן היקוות נהר פמפגנה (פיליפינים)	אגן היקוות נהר פמפגנה	4760	4
1097	אגן היקוות נהר פרגוואי	אגן היקוות נהר פרגוואי	4824	4
1099	אגן היקוות נהר פרובו (יוטה)	אגן היקוות נהר פרובו	4146	4
1101	אגן היקוות נהר צ'אטהוצ'י	אגן היקוות נהר צ'אטהוצ'י	4759	4
1103	אגן היקוות נהר צ'ארי	אגן היקוות נהר צ'ארי	4164	4
1105	אגן היקוות נהר קגרה	אגן היקוות נהר קגרה	4856	4
1109	אגן היקוות נהר קולומביה	אגן היקוות נהר קולומביה	4765	4
1111	אגן היקוות נהר קונטיקט	אגן היקוות נהר קונטיקט	4846	4
1113	אגן היקוות נהר קלמת' (אורגון וקליפורניה)	אגן היקוות נהר קלמת'	4861	4
1115	אגן היקוות נהר קראטי (איטליה)	אגן היקוות נהר קראטי	4159	4
1118	אגן היקוות נהר רפובלידן (נברסקה וקנזס)	אגן היקוות נהר רפובלידן	5846	4
1120	אגן היקוות נהר שוואלם (הסה, גרמניה)	אגן היקוות נהר שוואלם	4161	4
1122	אגן היקוות נחל נאמן	אגן היקוות נחל נאמן	4014	4
1124	אגן היקוות נחל שקמה (ישראל)	אגן היקוות נחל שקמה	4186	4
1126	אגן היקוות פיסיאנס קריק (קולורדו)	אגן היקוות פיסיאנס קריק	4763	4
1128	אגן היקוות קון קריק (מחוז מנרו-מחוז ורנון, ויסקונסין)	אגן היקוות קון קריק	4848	4
1130	אגן היקוות ריו גרנדה	אגן היקוות ריו גרנדה	4772	4
1133	אגן הקוות אגם הכינרת (ישראל)	אגן הקוות אגם הכינרת	5152	4
1135	אגן הקוות הנר האמזונס	אגן הקוות הנר האמזונס	4804	4
1137	אגן הקוות נהר אוקה (רוסיה)	אגן הקוות נהר אוקה	6679	4
1139	אגן הקוות נהר האן (שאנשי שנג וחוביי שנג, סין)	אגן הקוות נהר האן	4822	4
1143	אגן הקוות נהר הנילוס	אגן הקוות נהר הנילוס	4767	4
1146	אגן הקוות נהר קולורדו (קולורדו-מקסיקו)	אגן הקוות נהר קולורדו	4806	4
1148	אגן הקוות נהר קונגו	אגן הקוות נהר קונגו	4756	4
1150	אגן וויליסטון	אגן וויליסטון	3722	4
1153	אגן וינה (אוסטריה)	אגן וינה	3342	4
1155	אגנונה (איטליה)	אגנונה	12109	4
1157	אגן חמרין (עיראק)	אגן חמרין	3046	4
1160	אגן טאודני (מאלי)	אגן טאודני	3829	4
1165	אגן טארים (סין)	אגן טארים	3973	4
1170	אגנטה (הודו)	אגנטה	10792	4
1172	אגן טונטו (אריזונה)	אגן טונטו	4062	4
1175	אגן יואנקו (סין)	אגן יואנקו	6659	4
1177	אגן מילפילד (אנגליה)	אגן מילפילד	1526	4
1179	אגן מישיגן (מישיגן ואונטריו)	אגן מישיגן	2887	4
1183	אגן ניהוואן (סין)	אגן ניהוואן	4207	4
1186	אגן סירס (יוון)	אגן סירס	3130	4
1188	אגן סן חואן (ניו מקסיקו וקולורדו)	אגן סן חואן	3715	4
1190	אגנפלדן (גרמניה)	אגנפלדן	19663	4
1191	אגנפלדן (גרמניה)	אטין ועלדן	19663	4
1192	אגנפלדן (גרמניה)	איטן ועלדן	19663	4
1195	אגן פריז (צרפת)	אגן פריז	2171	4
1197	אגן פרת (מערב אוסטרליה)	אגן פרת	4721	4
